"","kb","mb","fileType","gitUrl","tweetID","fileCode","tweetURL"
"3110",26.23,0.026,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1362476454488010758-Euh9HKHXIAEQAmC.mp4","1362476454488010758","-Euh9HKHXIAEQAmC.mp4","https://twitter.com/jmhenner/status/1362476454488010758"
"3111",60.028,0.06,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1362481958585053185-EuiCHghWgAAx2l-.mp4","1362481958585053185","-EuiCHghWgAAx2l-.mp4","https://twitter.com/jmhenner/status/1362481958585053185"
"3112",24.308,0.024,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1362499647835635712-EuiSM7VWgAoBV03.mp4","1362499647835635712","-EuiSM7VWgAoBV03.mp4","https://twitter.com/jmhenner/status/1362499647835635712"
"3113",43.48,0.043,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1362799311403298817-EumivZiXEAIVbzV.mp4","1362799311403298817","-EumivZiXEAIVbzV.mp4","https://twitter.com/jmhenner/status/1362799311403298817"
"3114",5973.352,5.973,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1362872107051417600-DuTIwoQCAD5F2NGX.mp4","1362872107051417600","-DuTIwoQCAD5F2NGX.mp4","https://twitter.com/jmhenner/status/1362872107051417600"
"3115",10.252,0.01,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1362920791671767043-EuoRO9WWQAETu-I.mp4","1362920791671767043","-EuoRO9WWQAETu-I.mp4","https://twitter.com/jmhenner/status/1362920791671767043"
"3116",46.566,0.047,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1362923749037789184-EuoT63QXMAIYvwC.mp4","1362923749037789184","-EuoT63QXMAIYvwC.mp4","https://twitter.com/jmhenner/status/1362923749037789184"
"3117",2542.604,2.543,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1362991807521505282-7Ka0Bw3uXehMwPww.mp4","1362991807521505282","-7Ka0Bw3uXehMwPww.mp4","https://twitter.com/jmhenner/status/1362991807521505282"
"3118",31.808,0.032,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1363157032635936773-EuroFxRWYAUlVtO.mp4","1363157032635936773","-EuroFxRWYAUlVtO.mp4","https://twitter.com/jmhenner/status/1363157032635936773"
"3119",30.274,0.03,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1363248725393604612-Eus7fPqXYAE4lLh.mp4","1363248725393604612","-Eus7fPqXYAE4lLh.mp4","https://twitter.com/jmhenner/status/1363248725393604612"
"3120",16.161,0.016,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1363279177747628033-EutXLzoWgAAIqET.mp4","1363279177747628033","-EutXLzoWgAAIqET.mp4","https://twitter.com/jmhenner/status/1363279177747628033"
"3121",28.33,0.028,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1363293391073775622-EutkG2tXIAAvaIO.mp4","1363293391073775622","-EutkG2tXIAAvaIO.mp4","https://twitter.com/jmhenner/status/1363293391073775622"
"3122",121.373,0.121,".jpg","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1363295441866133504-Eutl-onXIAERsnB.jpg","1363295441866133504","-Eutl-onXIAERsnB.jpg","https://twitter.com/jmhenner/status/1363295441866133504"
"3123",36.082,0.036,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1363308561212801025-Eutx6JKXAAE3DmG.mp4","1363308561212801025","-Eutx6JKXAAE3DmG.mp4","https://twitter.com/jmhenner/status/1363308561212801025"
"3124",61.013,0.061,".jpg","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1363308948510695426-Eusw9JhWYAA2nWG.jpg","1363308948510695426","-Eusw9JhWYAA2nWG.jpg","https://twitter.com/jmhenner/status/1363308948510695426"
"3125",55.872,0.056,".jpg","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1363308948510695426-Eusw9JiXIAMXn0_.jpg","1363308948510695426","-Eusw9JiXIAMXn0_.jpg","https://twitter.com/jmhenner/status/1363308948510695426"
"3126",147.118,0.147,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1363313001458204672-Eut18WnWgAYcRuD.mp4","1363313001458204672","-Eut18WnWgAYcRuD.mp4","https://twitter.com/jmhenner/status/1363313001458204672"
"3127",23.8,0.024,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1363329098731446272-EuuEllfXAAEKkLT.mp4","1363329098731446272","-EuuEllfXAAEKkLT.mp4","https://twitter.com/jmhenner/status/1363329098731446272"
"3128",195.439,0.195,".jpg","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1363531873901756419-Euw8RB2VIAMxvXo.jpg","1363531873901756419","-Euw8RB2VIAMxvXo.jpg","https://twitter.com/jmhenner/status/1363531873901756419"
"3129",24.005,0.024,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1363576243619250176-EuxlXUgXcAQJU-q.mp4","1363576243619250176","-EuxlXUgXcAQJU-q.mp4","https://twitter.com/jmhenner/status/1363576243619250176"
"3130",82.951,0.083,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1363882142980276227-Eu17kvYXAAIuW2A.mp4","1363882142980276227","-Eu17kvYXAAIuW2A.mp4","https://twitter.com/jmhenner/status/1363882142980276227"
"3131",185.096,0.185,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1363912236536901634-Eu2W8rdXEAUvyFq.mp4","1363912236536901634","-Eu2W8rdXEAUvyFq.mp4","https://twitter.com/jmhenner/status/1363912236536901634"
"3132",46.528,0.047,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1363932103885414404-Eu2pBFiXEAU6tYr.mp4","1363932103885414404","-Eu2pBFiXEAU6tYr.mp4","https://twitter.com/jmhenner/status/1363932103885414404"
"3133",11.847,0.012,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1363936072204492807-Eu2soD5WYAYrkY2.mp4","1363936072204492807","-Eu2soD5WYAYrkY2.mp4","https://twitter.com/jmhenner/status/1363936072204492807"
"3134",31.477,0.031,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1363937624214417409-Eu2uCasXIAUnT_x.mp4","1363937624214417409","-Eu2uCasXIAUnT_x.mp4","https://twitter.com/jmhenner/status/1363937624214417409"
"3135",98.235,0.098,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1364039791495548929-Eu4K9XHXYAA1Gj7.mp4","1364039791495548929","-Eu4K9XHXYAA1Gj7.mp4","https://twitter.com/jmhenner/status/1364039791495548929"
"3136",88.284,0.088,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1364042142180659201-Eu4NF64XYAM-39r.mp4","1364042142180659201","-Eu4NF64XYAM-39r.mp4","https://twitter.com/jmhenner/status/1364042142180659201"
"3137",169.534,0.17,".jpg","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1364244509920530432-Eu7FJnjXcAoDK6S.jpg","1364244509920530432","-Eu7FJnjXcAoDK6S.jpg","https://twitter.com/jmhenner/status/1364244509920530432"
"3138",4.32,0.004,".png","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1364313408246530050-Eu8D0GkXIAAbGHt.png","1364313408246530050","-Eu8D0GkXIAAbGHt.png","https://twitter.com/jmhenner/status/1364313408246530050"
"3139",58.717,0.059,".jpg","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1364432347379212288-Eu84i28XUAAuWQ4.jpg","1364432347379212288","-Eu84i28XUAAuWQ4.jpg","https://twitter.com/jmhenner/status/1364432347379212288"
"3140",129.844,0.13,".jpg","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1364446272325877768-Eu8IUCWWQAMChq4.jpg","1364446272325877768","-Eu8IUCWWQAMChq4.jpg","https://twitter.com/jmhenner/status/1364446272325877768"
"3141",21.694,0.022,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1364628098835169283-EvAiBWiWYAUkyyC.mp4","1364628098835169283","-EvAiBWiWYAUkyyC.mp4","https://twitter.com/jmhenner/status/1364628098835169283"
"3142",14.342,0.014,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1364628365072883717-EvAiQ1_XMAAAUES.mp4","1364628365072883717","-EvAiQ1_XMAAAUES.mp4","https://twitter.com/jmhenner/status/1364628365072883717"
"3143",41.531,0.042,".mp4","https://raw.githubusercontent.com/cawenz/hennerTweets/main/data/tweets_media/1364631359847878656-EvAk_JqXEAMjtZR.mp4","1364631359847878656","-EvAk_JqXEAMjtZR.mp4","https://twitter.com/jmhenner/status/1364631359847878656"
